date,tweet_id,tweet_text,source,in_reply_to_screen_name,user_name,user_screen_name,location,user_url,n_followers,verified
2021-06-18 13:42:18,1405883571466866692,la nueva generación es esta @Santi_ABASCAL https://t.co/stlLb54TZr,Twitter for Android,,Dylan ⚧ ☭🇯🇴 (in love 🧡💜),dmt1604,en una sociedad equivocada,https://twitter.com/dmt1604,639,False
2021-06-18 13:41:48,1405883448548540422,"@Santi_ABASCAL Valiente imbécil eres, Abascal.
Lo mismo es quitar la mascarilla ahora que cuando tú lo propusiste,  con apenas vacunación. 
Eres un cáncer para este país.",Twitter for Android,Santi_ABASCAL,Cyrano De Bergerac,CyranoD37611083,,https://twitter.com/CyranoD37611083,0,False
2021-06-18 13:40:36,1405883144113360905,"@Santi_ABASCAL Eres un vende humos,solo te lo compran tus bufones.",Twitter for Android,Santi_ABASCAL,RACAMA S.L❤💛💜,impcaligulae,"Mérida, España",https://twitter.com/impcaligulae,49,False
2021-06-18 13:40:35,1405883139185168386,@JoseLuisGil1000 @Santi_ABASCAL A Santi Abascal??? Jajajaja cómo hay gente en Lima que todavía preferiría seguir siendo una Colonia española y hay Santis Abascales que los seguirían mirando con asco.,Twitter for iPhone,JoseLuisGil1000,Orlando Toranzo,orlando_toranzo,,https://twitter.com/orlando_toranzo,273,False
2021-06-18 13:40:22,1405883086668247044,@Santi_ABASCAL Vaya mérito quitar la mascarilla cuando lo están haciendo en más países. Que deje de sablear con tanto impuesto. En Portugal pagan lo mismo por la energía y aplican la mitad del IVA.,Twitter Web App,Santi_ABASCAL,Mercedes,Cornin03303157,,https://twitter.com/Cornin03303157,27,False
2021-06-18 13:40:12,1405883043345227776,Cómo nos hace falta en Chile un líder como Santiago Abascal (@Santi_ABASCAL). https://t.co/pplFAZFlFP,Twitter Web App,,Bajo el Alquitrán,bajoelalquitran,,https://twitter.com/bajoelalquitran,1222,False
2021-06-18 13:39:11,1405882789946347522,"@antonlosada @Santi_ABASCAL Habrá que comprar más balas , veinte millones se les van a  quedar cortos .",Twitter for Android,antonlosada,diner,diner1960,"Bilbao, España",https://twitter.com/diner1960,117,False
2021-06-18 13:38:04,1405882506205880321,@PabloWayne6 @Santi_ABASCAL Pero pagamos justos por pecadores!!,Twitter for Android,PabloWayne6,Maria Gutierrez,MariaGu25381233,En las estrellas,https://twitter.com/MariaGu25381233,40,False
2021-06-18 13:38:02,1405882497615998981,"@Santi_ABASCAL Es que era un suicidio, antes que no habían vacunas, la gente nada más que hacía morir, hospitales, UCIS, respiradores… TODO agotado y estabas tú pensando en quitar las mascarillas…. @Santi_ABASCAL no utilices la salud de la personas para hacer política. Haznos el favor.",Twitter for iPhone,Santi_ABASCAL,Inmaculada López Campillo,Inmacul87812238,,https://twitter.com/Inmacul87812238,24,False
2021-06-18 13:36:54,1405882215905517568,"@Santi_ABASCAL Qué bonito te ha quedado el tuit @Santi_ABASCAL
Igualita la situación de antes sin vacunas que la de ahora con millones de vacunados

En algún momento nos la tendremos que quitar, lo proponga quien lo proponga, pero no en momentos que no procede, así a lo loco",Twitter for Android,Santi_ABASCAL,Yolanda,Yolanda_DP_F,"Madrid, Comunidad de Madrid",https://twitter.com/Yolanda_DP_F,25,False
2021-06-18 13:35:09,1405881772089528320,"💚 VOTA VOX COMIENZA LA RECONQUISTA 

💚 Desde la Prisión Martutene Directo con Pdte VOX NAVARRA Emilio Jiménez, Dip Parlamento Vasco Amaia Martínez y Pdte Vox Guipúzcoa Juan de Dios

💚 Un Ciudadano Cualquiera

https://t.co/3QjUoq785z
#ArribaVOXvenceremos
#TeamVox @Santi_ABASCAL https://t.co/4hP2lHyXAE",Twitter for Android,,Francisco Acosta,Francis59108531,Tenerife,https://twitter.com/Francis59108531,4788,False
2021-06-18 13:34:10,1405881524545798157,@Del8cho @MalaMalamente @Santi_ABASCAL @Macarena_Olona Como puedo respirar mi propio oxigeno? Que concepto es ese?,Twitter for Android,Del8cho,JOSE MARÍA VAZQUEZ,JOSEMARAVAZQUE2,,https://twitter.com/JOSEMARAVAZQUE2,6,False
2021-06-18 13:31:38,1405880890274811908,"@policia @guardiacivil @EMADmde @CasaReal @MonarquiaEspana @Santi_ABASCAL @pablocasado_ @InesArrimadas @fjosealcaraz @PerdigueroSIPEp @Macarena_Olona @Jorgebuxade @zoidoJI @TeoGarciaEgea @Ortega_Smith @ivanedlm @Armada_esp @EjercitoTierra @EjercitoAire cuando el rio suena, agua lleva, que esa agua no sea fétida y sucia pues todo lo hecho vuelta a empezar, moraleja prevenir y no obligar con ordenes que sea en contra de la persona desde generales hasta el soldado de guardia, todos valen y todos cuentan, guardias igual",Twitter Web App,10ramon10,ramon vives conde 🇪🇸,10ramon10,,https://twitter.com/10ramon10,671,False
2021-06-18 13:30:33,1405880615887589384,"@vox_es @monasterioR Y los chiringuitos como en el que estaba @Santi_ABASCAL se podrán seguir manteniendo, no?",Twitter for iPhone,vox_es,Señor X,hispalis55,"Sevilla, España",https://twitter.com/hispalis55,284,False
2021-06-18 13:30:15,1405880538662162437,@Santi_ABASCAL embustera,Twitter for iPhone,Santi_ABASCAL,José Gordillo,Jos_Gor_Danza,,https://twitter.com/Jos_Gor_Danza,14,False
2021-06-18 13:30:00,1405880477395914756,"@Dsagunt @Alvisepf @sanchezcastejon @Macarena_Olona @Santi_ABASCAL @IdiazAyuso @Tonicanto1 Ya has llamado la atención, ya puedes volver a tu trabajo de buscar trabajo.",Twitter for Android,Dsagunt,Adrián romero,AdryRo87,"Barcelona, España",https://twitter.com/AdryRo87,4,False
2021-06-18 13:29:14,1405880283040206849,"@Santi_ABASCAL Pues a ver si os apiadáis de los niños y hacéis q les quiten el bozal y ningún demonio les acerque una inoculación asesina q no necesitan. Dónde y cuándo, porque esa iba a dejar la de los indultos en reunión de amigos. Padres on fire.",Twitter for Android,Santi_ABASCAL,🇪🇸✝🖤Aust geek🖤🥘🇪🇸,austerogeekpod,,https://twitter.com/austerogeekpod,1364,False
2021-06-18 13:29:06,1405880253101359104,@manuelfordalva1 @AzuelaSantiago @rwide2006 @Santi_ABASCAL Los del PP te los regalos también... Igual de sinvergüenzas y ladrones que el PSOE,Twitter for Android,manuelfordalva1,LaVida12,LVida12,,https://twitter.com/LVida12,242,False
2021-06-18 13:28:47,1405880170226008072,@Santi_ABASCAL Eres tonto,Twitter for Android,Santi_ABASCAL,Lara María Álvarez Álvarez #FCKVX 🏳️‍🌈❤💛💜,LaraMaralvarez1,,https://twitter.com/LaraMaralvarez1,116,False
2021-06-18 13:27:56,1405879958866694144,"@Jeivi17771146 @AROSADR @Ancap_spain @Santi_ABASCAL Venga payaso, ¡A quemar contenedores!",Twitter for iPhone,Jeivi17771146,Ani🦁,anidusseldorf,Madrid ,https://twitter.com/anidusseldorf,390,False
2021-06-18 13:27:48,1405879923038949382,"@Santi_ABASCAL @Maya_vuela Suicidas son los que seguirán llevando los bozales en los exteriores.
No se puede vivir sin respirar.",Twitter for Android,Santi_ABASCAL,Chus 231 Vigo,231Vigo,VIGO.,https://twitter.com/231Vigo,16746,False
2021-06-18 13:27:06,1405879748648181763,"@JoseLuisGil1000 @Santi_ABASCAL PAPELITO MANDA. La ley y reglamento fueron hechos por ellos mismos, aceptado y escrito por Bartra, Becerril y el mismo Miguel Torres, donde con claridad definen los tiempos hasta las 8pm pasado eso, sería extemporáneo y no como alegan hasta media noche. https://t.co/leqA37oYnK",Twitter Web App,JoseLuisGil1000,El Código Nasca 🇵🇪,luiscabrejo,PERÚ Land of the Inkas,https://twitter.com/luiscabrejo,828,False
2021-06-18 13:26:37,1405879624790388736,"@Santi_ABASCAL Nazi, vago, Macarra, fascista, no has trabajado ni cotizado en tu puñetera vida; hijo de puta,  cerdo",Twitter for Android,Santi_ABASCAL,..,barullooo,,https://twitter.com/barullooo,44,False
2021-06-18 13:26:30,1405879598118805507,"@Santi_ABASCAL El peor Gobierno desde hace muchos años, romper España a costa del cargo por dos años, viva Vox viva España🇪🇸🇪🇸🇪🇸🇪🇸",Twitter for Android,Santi_ABASCAL,A. P,AP96810292,,https://twitter.com/AP96810292,2,False
2021-06-18 13:26:21,1405879560982441989,"@policia @guardiacivil @EMADmde @CasaReal @MonarquiaEspana @Santi_ABASCAL @pablocasado_ @InesArrimadas @fjosealcaraz @PerdigueroSIPEp @Macarena_Olona @Jorgebuxade @zoidoJI @TeoGarciaEgea @Ortega_Smith @ivanedlm @Armada_esp @EjercitoTierra @EjercitoAire @el_trecetv @ElCascabelTRECE tonterias las justas, a menos y ser nada @COPE @heraldoes @ExpositoCOPE",Twitter Web App,10ramon10,ramon vives conde 🇪🇸,10ramon10,,https://twitter.com/10ramon10,671,False
2021-06-18 13:25:39,1405879382468710400,@Santi_ABASCAL La izquierda radical fascista y ha llevado al país a la ruina,Twitter Web App,Santi_ABASCAL,Mirago,Miragoesp,España,https://twitter.com/Miragoesp,277,False
2021-06-18 13:25:26,1405879326566981633,"Desde el Perú le contamos a @Santi_ABASCAL que la lucha contra la conspiración internacional del socialismo-comunismo, recién ha empezado y lo dijimos en este artículo. https://t.co/ZUs5U7QkXN Hablemos...",Twitter Web App,,José Luis Gil,JoseLuisGil1000,Peru,https://twitter.com/JoseLuisGil1000,9356,False
2021-06-18 13:25:24,1405879320564875267,"@vdevendetta1570 @Kminandoxlavida @Santi_ABASCAL A ver si es verdad , y termina esta pesadilla que tanto daño ha hecho a vecinos y familias.  Yo tengo que seguir yendo por Cataluña, y me interesa que no me corten las carreteras para hacer mi trabajo. Cataluña es España.",Twitter for iPhone,vdevendetta1570,JEE. 🇪🇦,Enrique09873775,España,https://twitter.com/Enrique09873775,826,False
2021-06-18 13:25:23,1405879317062631425,"@Santi_ABASCAL sois todos los politicos, el 99% unos ladrones y unos hijos d la gran...pero @sanchezcastejon es verdad que podria impartir clases en hijo putismo...",Twitter for Android,Santi_ABASCAL,antonio gonzalez,Menganico1,"Totana, España",https://twitter.com/Menganico1,38,False
2021-06-18 13:24:52,1405879185793560583,@Santi_ABASCAL No será a ti que has vivido toda la vida como un pachá,Twitter Web App,Santi_ABASCAL,Araceli Hernandez,AraceliArher,,https://twitter.com/AraceliArher,1,False
